"Receipt","Academic Director - Life Sciences","Academic Director - Humanities","Academic Director - Computer Science","Academic Director - Mathematical and Physical Sciences","Academic Director - Rotman Commerce","Academic Director - Social Sciences","Division I Director, Woodsworth College","Division I Director, University College","Division I Director, Victoria University in the University of Toronto","President","Vice-President, Campus Life","Vice-President, Equity","Vice-President, External","Vice-President, Internal and Services","Vice-President, Professional Faculties","Vice-President, University Affairs","Director - Architecture","Director - Dentistry","Director - Engineering and Applied Sciences","Director - Medicine","Director, Nursing","Director - Pharmacy","Director - Professional Faculty At-Large","Director - Theology","Referendum Question 1","Referendum Question 2"
"2KT8","Abstain","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"2M25","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Marienka Bishop-Kovac","","","","","","Abstain","","Abstain","Abstain"
"2M78","","","Abstain","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"2MHP","","Yes","","Yes","","","","Kshemani Constantinescu, Chimwemwe Alao, Ryan Hume, Mira El Hussein","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"2MKR","","","","","","","","","","Abstain","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","",""
"2MQZ","Abstain","Abstain","","","","Abstain","","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"2MR8","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","","","","","Faizan Akbani, Sophia Wang","","Yes","No"
"2MSD","","","","","","","","","","Jasmine Wong Denike","Abstain","Abstain","Lucinda Jing Qu","Mathias Memmel","Abstain","Abstain","","","","","","","Sophia Wang","","Yes","No"
"2MWN","","No","","","","","","Kshemani Constantinescu, Mira El Hussein, Ryan Hume, Chimwemwe Alao","","Abstain","Shahin Imtiaz","Farah Noori","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"2MX7","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Abstain","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Danja Papajani, Addy Bhatia","","","","Sophia Wang, Faizan Akbani","","Yes","Yes"
"2N29","","","","","","","Ifrah Farah, Sebastian Salomon, Ahmad Ilyas, Christina Badiola","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"2N8V","Yes","","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"2NC8","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Abstain","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Danja Papajani, Andrew Sweeny, Addy Bhatia","","","","Faizan Akbani, Sophia Wang","","No","Yes"
"2NCV","","Yes","","","","Yes","","","Abstain","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"2NG4","","No","","","","No","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"2NHC","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Addy Bhatia, Andrew Sweeny, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","Abstain","Abstain"
"2NHY","","Abstain","","","","Abstain","","","","Madina Siddiqui","Abstain","Malkeet Sandhu","Andre Fast","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"2NY4","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani, Sophia Wang","","No","Yes"
"2PG9","","Yes","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"2PGV","","","","","Yes","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"2PMN","","Yes","","","","","","","","Jasmine Wong Denike","Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"2PNP","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"2PNS","","","","No","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Danja Papajani, Addy Bhatia, Andrew Sweeny","","","","Sophia Wang, Faizan Akbani","","No","No"
"2PTY","","","","Yes","","Yes","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","No"
"2Q58","","Abstain","","","","Yes","","Abstain","","Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","No"
"2Q6W","","Abstain","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Yes"
"2Q8M","","Abstain","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"2QKP","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","","Yes","Abstain","","Abstain","Abstain"
"2QKX","","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"2QTJ","","","","","","Abstain","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"2QVS","","Yes","","","","Yes","Abstain","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Yes","Yes"
"2QWP","","","","Yes","","","","","","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Yes","Yes"
"2R29","","Yes","","","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Yes"
"2R6R","","","","","","","","Mira El Hussein","","Abstain","Shahin Imtiaz","Farah Noori","Andre Fast","Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"2RHZ","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Abstain","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","No"
"2RN4","","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","Ryan Gomes, Charlotte Mengxi Shen","Shawn Williams, Andy Edem","Marienka Bishop-Kovac, Veronika Potylitsina","","","","","","Faizan Akbani, Sophia Wang","","No","No"
"2RQ4","","","","Abstain","","","","","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","Abstain"
"2RS4","","","","Abstain","","","","Abstain","","Abstain","Abstain","Abstain","Abstain","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"2S69","Yes","","","","","","Ifrah Farah, Christina Badiola, Ahmad Ilyas, Sebastian Salomon","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Abstain"
"2S89","","","Yes","Yes","","","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Andy Edem, Shawn Williams","","","","","","","","","No","No"
"2SBR","","Abstain","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"2SBW","Yes","Yes","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"2SKX","","Abstain","","","","","Abstain","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Yes"
"2SNC","Abstain","","","","","","","Abstain","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","No","No"
"2SSM","Yes","","","","","","","","","Madina Siddiqui, Jasmine Wong Denike","Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"2SXK","","Yes","","","","Yes","","","","Abstain","Alessia Rodriguez, Lera Nwineh, Shahin Imtiaz","Abstain","Abstain","Abstain","","Andy Edem, Shawn Williams","","","","","","","","","Yes","Abstain"
"2T2S","","","","Abstain","","Abstain","","","","Abstain","Abstain","Abstain","Abstain","Mathias Memmel, Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"2T6C","","","No","","","","","Ryan Hume","","Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Andre Fast","Mathias Memmel","","Abstain","","","","","","","","","Yes","No"
"2T83","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","",""
"2T9W","","","","","","Yes","","Ryan Hume","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","No","No"
"2TV5","","Abstain","","","","","","","","Abstain","Abstain","Malkeet Sandhu","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"2TWR","","","","","Yes","","","","","Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","","Shawn Williams","","","","","","","","","Abstain","Abstain"
"2TXP","","","","","","","","","","Abstain","Abstain","Abstain","Abstain","Abstain","Charlotte Mengxi Shen, Ryan Gomes","Abstain","","","Abstain","","","","Abstain","","Abstain","Abstain"
"2V5Y","","Yes","","","","Yes","","","Garnet Lollar, Stephanie Spagnuolo","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Andre Fast","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"2VJ3","","Yes","","","","Yes","","","Abstain","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"2VQ9","","","","Abstain","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","Abstain","Abstain"
"2VT6","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Addy Bhatia","","","","Sophia Wang","","No","No"
"2VXS","","","","","Yes","","","","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"2W32","","","","","","","","","","Madina Siddiqui","Alessia Rodriguez","Farah Noori","Abstain","Abstain","","Andy Edem","","","","","","","","","",""
"2W6B","","Yes","","Yes","Yes","","","Abstain","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","No"
"2W8T","Abstain","","","Yes","","Yes","","","","Jasmine Wong Denike, Madina Siddiqui","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Malkeet Sandhu, Farah Noori","Abstain","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"2W9J","","","","","","","","","","Madina Siddiqui","Alessia Rodriguez","Malkeet Sandhu","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","Abstain","No"
"2WGB","","Yes","","","","Yes","","","","Jasmine Wong Denike","Alessia Rodriguez, Shahin Imtiaz, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"2WNX","Yes","","","","","","","Chimwemwe Alao, Mira El Hussein, Kshemani Constantinescu, Ryan Hume","","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"2WRZ","","","","Yes","","","","","","Abstain","Abstain","Abstain","Abstain","Carina Zhang","","Abstain","","","","","","","","","No","No"
"2WSG","","","","","Yes","Yes","","","Abstain","Jasmine Wong Denike","Shahin Imtiaz","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","No","No"
"2WYP","","","","","","Abstain","Abstain","","","Abstain","Abstain","Abstain","Andre Fast, Lucinda Jing Qu","Abstain","","Abstain","","","","","","","","","Abstain","No"
"2X25","","","","","","","","","","Abstain","Abstain","Abstain","Lucinda Jing Qu","Abstain","Abstain","Abstain","","","Abstain","","","","Abstain","","No","No"
"2X45","","","","","","Abstain","","","","Jasmine Wong Denike, Madina Siddiqui","Lera Nwineh, Shahin Imtiaz, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"2X6Z","Yes","","","","","","","","","Jasmine Wong Denike","Alessia Rodriguez","Farah Noori","Andre Fast","Mathias Memmel","","Andy Edem","","","","","","","","","Yes","Yes"
"2X7W","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","Ryan Gomes","Shawn Williams","","","Andrew Sweeny, Addy Bhatia, Danja Papajani","","","","Faizan Akbani","","Abstain","Abstain"
"2XG5","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Farah Noori, Malkeet Sandhu","Lucinda Jing Qu, Andre Fast","Mathias Memmel, Carina Zhang","","Shawn Williams, Andy Edem","","","","","","","","","Yes","Yes"
"2XWH","Abstain","","","","","","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Lera Nwineh, Alessia Rodriguez, Shahin Imtiaz","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Andy Edem, Shawn Williams","","","","","","","","","Abstain","Abstain"
"2XWM","","","","","","","","","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Shawn Williams","","","","","","","","","",""
"2Y4X","Abstain","Abstain","","","","Abstain","Ahmad Ilyas","","","Abstain","Alessia Rodriguez","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","Abstain"
"2Y5V","","","","","","Yes","","Abstain","","Madina Siddiqui, Jasmine Wong Denike","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Abstain","No"
"2YFF","","Abstain","","","","","","","Garnet Lollar, Stephanie Spagnuolo","Madina Siddiqui, Jasmine Wong Denike","Shahin Imtiaz, Lera Nwineh, Alessia Rodriguez","Malkeet Sandhu, Farah Noori","Andre Fast, Lucinda Jing Qu","Carina Zhang, Mathias Memmel","","Shawn Williams, Andy Edem","","","","","","","","","Abstain","Abstain"
"2YQC","No","","","","","","","Ryan Hume","","Madina Siddiqui","Lera Nwineh","Malkeet Sandhu","Andre Fast","Carina Zhang","","Andy Edem","","","","","","","","","Abstain","Abstain"
"2YS2","","","","","","","","","","Jasmine Wong Denike, Madina Siddiqui","Abstain","Abstain","Abstain","Abstain","Abstain","Abstain","","","","","","Yes","Abstain","","Abstain","Yes"
"2YXG","","Abstain","","","","Yes","","","","Abstain","Abstain","Abstain","Abstain","Abstain","","Abstain","","","","","","","","","Yes","Yes"
"2YYF","","","","","Yes","","","Kshemani Constantinescu, Mira El Hussein, Chimwemwe Alao, Ryan Hume","","Jasmine Wong Denike, Madina Siddiqui","Shahin Imtiaz, Alessia Rodriguez, Lera Nwineh","Abstain","Lucinda Jing Qu, Andre Fast","Carina Zhang, Mathias Memmel","","Abstain","","","","","","","","","Abstain","Abstain"
"2Z7S","","","","","","","","","","Jasmine Wong Denike","Shahin Imtiaz, Alessia Rodriguez","Farah Noori","Lucinda Jing Qu","Mathias Memmel","","Shawn Williams","","","","","","","","","",""
